OTU ID	HerbaGuinea.d1	Gandules.K4	C2	Camposta.3	S3	Sunflower14	Guineagrass1	Sunflower7	Guineagrass8	G3	S1	MarigoldI3	Tobacco.B5	Gandules3	Cosmos13	Gandules.K3	M3	M2	G1	Girasoles.G6	HerbaGuinea.5	Maravilla.F1B	Gandules10	C3	M1	C1	Gandules5	Tobacco.B3	Maravilla.F1A	Camposta.5	MarigoldA2	Tobacco.B1	Gandules.K2	Girasoles.E5	Gandules4	Girasoles.E10	Camposta.4	Guineagrass3	Comsos1	Girasoles.G9	S2	Gandules2	Tobacco.B2	Tobacco.B4	Camposta.1	Marigold5B	Cosmo.T.C3	Maravilla.F1	Cosmo.T.A1	Lasemillera	Cosmo.T.A5	Gandules.K6	Sunflower3	Camposta.2	G2
d7a504f5f1dc9fbdd77581570e3fd5cb	276.0	533.0	86.0	0.0	77.0	685.0	530.0	685.0	727.0	20.0	105.0	338.0	456.0	494.0	320.0	448.0	72.0	68.0	52.0	142.0	295.0	587.0	493.0	102.0	68.0	149.0	494.0	306.0	527.0	0.0	733.0	495.0	201.0	171.0	199.0	124.0	0.0	282.0	489.0	289.0	75.0	199.0	448.0	459.0	0.0	744.0	486.0	707.0	336.0	0.0	584.0	541.0	444.0	0.0	69.0
ecbf086d6ccbe5e8c2a69d0afb144662	158.0	132.0	940.0	0.0	31.0	380.0	28.0	380.0	50.0	336.0	475.0	9.0	409.0	29.0	27.0	122.0	336.0	14.0	148.0	19.0	78.0	89.0	325.0	43.0	14.0	17.0	29.0	35.0	142.0	0.0	280.0	130.0	22.0	21.0	55.0	13.0	0.0	158.0	255.0	25.0	84.0	55.0	73.0	628.0	0.0	25.0	20.0	269.0	11.0	445.0	11.0	355.0	106.0	0.0	99.0
21d2da61979521e6b9cf59db20a10cf8	145.0	223.0	6.0	0.0	0.0	236.0	147.0	236.0	122.0	3.0	14.0	129.0	331.0	38.0	118.0	133.0	41.0	16.0	15.0	51.0	92.0	144.0	230.0	3.0	16.0	10.0	38.0	158.0	129.0	0.0	295.0	135.0	90.0	24.0	30.0	37.0	0.0	159.0	90.0	134.0	11.0	30.0	165.0	119.0	0.0	205.0	326.0	283.0	194.0	33.0	265.0	401.0	139.0	0.0	14.0
498128a80a796620b238d8ad5cd1d2f9	138.0	119.0	16.0	0.0	6.0	143.0	47.0	143.0	69.0	13.0	6.0	73.0	60.0	72.0	65.0	108.0	9.0	10.0	27.0	90.0	85.0	67.0	245.0	45.0	10.0	11.0	72.0	45.0	179.0	0.0	190.0	33.0	62.0	22.0	27.0	61.0	0.0	82.0	61.0	36.0	40.0	27.0	67.0	81.0	0.0	98.0	87.0	82.0	73.0	0.0	122.0	193.0	270.0	0.0	11.0
db4c51d23607a40db2843c49a38ee271	93.0	256.0	16.0	0.0	5.0	182.0	177.0	182.0	267.0	0.0	5.0	95.0	128.0	128.0	99.0	125.0	12.0	2.0	0.0	44.0	81.0	133.0	124.0	13.0	2.0	0.0	128.0	61.0	161.0	0.0	197.0	185.0	66.0	59.0	42.0	18.0	0.0	72.0	120.0	36.0	0.0	42.0	89.0	169.0	0.0	255.0	173.0	265.0	154.0	0.0	195.0	132.0	135.0	0.0	1.0
959a178855242ad3833af85d38ccff45	92.0	61.0	17.0	0.0	5.0	62.0	23.0	62.0	30.0	5.0	8.0	41.0	42.0	18.0	52.0	80.0	18.0	13.0	6.0	17.0	52.0	50.0	151.0	5.0	13.0	6.0	18.0	29.0	69.0	0.0	127.0	32.0	24.0	9.0	17.0	17.0	0.0	47.0	24.0	12.0	12.0	17.0	24.0	61.0	0.0	54.0	104.0	67.0	68.0	0.0	65.0	186.0	112.0	0.0	9.0
85e5b8a5f57afada11822cf92aee7771	89.0	106.0	0.0	0.0	0.0	58.0	78.0	58.0	58.0	0.0	3.0	52.0	48.0	38.0	26.0	59.0	6.0	1.0	0.0	27.0	70.0	91.0	141.0	3.0	1.0	1.0	38.0	41.0	95.0	0.0	109.0	49.0	64.0	30.0	32.0	21.0	0.0	50.0	43.0	39.0	3.0	32.0	34.0	88.0	0.0	144.0	132.0	96.0	86.0	0.0	166.0	144.0	114.0	0.0	4.0
0ee0a3cc2b185e828aed755ae41df667	88.0	218.0	26.0	0.0	14.0	218.0	168.0	218.0	227.0	0.0	15.0	114.0	139.0	94.0	114.0	179.0	11.0	17.0	13.0	57.0	152.0	165.0	147.0	21.0	17.0	16.0	94.0	81.0	154.0	0.0	264.0	127.0	66.0	46.0	73.0	96.0	0.0	85.0	126.0	36.0	13.0	73.0	138.0	167.0	0.0	279.0	162.0	265.0	112.0	0.0	273.0	193.0	150.0	0.0	2.0
7955f25a5f2fd2eb0f6d4ee0fb4083e7	75.0	99.0	0.0	0.0	0.0	117.0	120.0	117.0	153.0	2.0	0.0	107.0	117.0	90.0	137.0	114.0	0.0	0.0	0.0	27.0	91.0	91.0	146.0	0.0	0.0	0.0	90.0	71.0	120.0	0.0	232.0	109.0	64.0	32.0	43.0	11.0	0.0	114.0	81.0	53.0	3.0	43.0	88.0	115.0	0.0	186.0	109.0	177.0	98.0	0.0	99.0	399.0	96.0	0.0	0.0
0aa7b37695c232d9fb1c63e409e45683	75.0	15.0	0.0	0.0	0.0	14.0	0.0	14.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	32.0	24.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0
